task,epoch,train_loss,train_acc,time_s
1,1,0.0791,0.9869,2.6
1,2,0.0032,0.9989,5.1
1,3,0.0026,0.9992,7.6
1,4,0.0011,0.9996,10.2
1,5,0.0006,0.9998,12.7
1,6,0.0007,0.9997,15.3
1,7,0.0002,0.9999,17.8
1,8,0.0001,1.0000,20.3
1,9,0.0001,1.0000,22.8
1,10,0.0001,1.0000,25.3
2,1,0.1697,0.9272,2.6
2,2,0.0548,0.9810,5.1
2,3,0.0345,0.9894,7.6
2,4,0.0213,0.9936,10.2
2,5,0.0118,0.9959,12.8
2,6,0.0082,0.9981,15.4
2,7,0.0049,0.9992,18.0
2,8,0.0038,0.9995,20.6
2,9,0.0032,0.9998,23.3
2,10,0.0028,0.9999,25.9
3,1,0.0960,0.9582,2.6
3,2,0.0152,0.9970,5.2
3,3,0.0102,0.9988,7.7
3,4,0.0078,0.9992,10.3
3,5,0.0063,0.9996,12.9
3,6,0.0048,1.0000,15.4
3,7,0.0041,1.0000,18.0
3,8,0.0038,1.0000,20.6
3,9,0.0037,1.0000,23.2
3,10,0.0036,1.0000,25.7
4,1,0.0648,0.9766,3.0
4,2,0.0107,0.9989,6.0
4,3,0.0075,0.9998,9.0
4,4,0.0066,0.9998,11.9
4,5,0.0054,0.9999,14.9
4,6,0.0056,0.9998,17.9
4,7,0.0044,1.0000,20.9
4,8,0.0041,1.0000,23.9
4,9,0.0040,1.0000,27.0
4,10,0.0039,1.0000,30.0
5,1,0.0830,0.9731,3.2
5,2,0.0438,0.9881,6.3
5,3,0.0356,0.9919,9.4
5,4,0.0302,0.9936,12.6
5,5,0.0245,0.9953,15.7
5,6,0.0206,0.9968,18.9
5,7,0.0182,0.9975,22.0
5,8,0.0149,0.9986,25.2
5,9,0.0138,0.9987,28.3
5,10,0.0132,0.9992,31.4
